ticker,date,day_of_week,month,current_quarter,days_from_month_end,open,high,low,close,volume,rsi,macd,daily_pct_change,rolling_avg_10d,sma_ratio_20,atr,ret_1d,ret_5d,perf_vs_sp_ret_5d,sp_ret_1d,sp_ret_5d,return_volatility_5day,bollinger_upper,bollinger_lower,bollinger_position,mom_20d,mom_63d,sharp_20d,vol_z_60d,rv_20d,semivol_20d,idio_vol_20d,dd_60d,beta_sp_60d,future_1d_ret,future_2d_ret,future_5d_ret,future_10d_ret,future_20d_ret,earning_date,earning_date_actual,market_cap,quarter_ending,reported_eps,estimated_eps,surprise_percent,revenue_million,days_since_earnings,days_since_earnings_trading,earnings_date_2d,earnings_date_5d,earnings_date_trading_2d,earnings_date_trading_5d,cpi_event_1d,cpi_event_2d,cpi_event_5d,cpi_days_since_release,trade_event_1d,trade_event_2d,trade_event_5d,trade_days_since_release,unemp_event_1d,unemp_event_2d,unemp_event_5d,unemp_days_since_release,gdp_event_1d,gdp_event_2d,gdp_event_5d,gdp_days_since_release,dsr_event_1d,dsr_event_2d,dsr_event_5d,dsr_days_since_release,fomc_event_1d,fomc_event_2d,fomc_event_5d,fomc_days_since_release,cpi_raw,cpi_mom,cpi_yoy,exports_raw,exports_mom,exports_yoy,imports_raw,imports_mom,imports_yoy,trade_balance_raw,trade_balance_mom,trade_balance_yoy,unemp_rate,gdp,debt_service_ratio,interest_rate_daily
AAPL,2023-01-03,Tuesday,1,Q1,28,128.468201867368,129.079574745922,122.443172705754,123.330657958984,112117500,32.3263896341041,-0.877192188068751,-3.74046958837149,128.674277496338,0.918160679107139,4.39997151498758,-3.740469588371487,-5.149389806696036,-0.0461153044741143,-0.0040005488792486,-0.0053787109444823,2.654184946795597,147.69266620824965,120.9545627956566,0.088865508770853,-15.384595252235645,-12.055109794586294,-6.525501906674799,1.2351362816352032,0.3139835915609419,0.0001963040478733,0.0073216959252075,-19.55984316822791,1.5085371440246524,1.0314072282204378,-0.0399871427479103,4.52545085132281,8.107467425696546,16.27886231629978,0,2022-10-27,3426497647100.0,2022-09-30 00:00:00,1.29,1.27,1.5748,90146,68,45,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,32,0,0,0,68,0,0,0,12,0,0,0,20,298.708,0.24465,7.13138,259671,-1.06754,13.50646,334444,1.26872,13.45738,-74773,10.31558,13.28727,3.6,22066.784,10.598597,4.33
ADI,2023-01-03,Tuesday,1,Q1,28,158.35259639379,158.955123954654,154.402623769632,155.368591308594,4475700,47.6102310627591,-1.0744773035995,-0.963246758425762,156.603332519531,0.97613287255216,4.12399197128962,-0.9632369383123952,-0.848387660304506,-0.0031052622094512,-0.0040005488792486,-0.0053787109444823,1.460308538067552,166.32115585864153,152.01377913891707,0.2344834243883257,-3.6648234866141993,12.432425628163667,-1.7595208556537294,0.6513565158623097,0.2502093602529328,8.204771208978115e-05,0.0084297606914892,-7.430615040182466,1.35896630061094,2.12988539454686,-1.6989879827990717,4.167423703904771,2.185285788841318,8.704206285494397,0,2022-11-22,114906269784.0,2022-10-31 00:00:00,2.73,2.59,5.4054,3248,42,27,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,32,0,0,0,68,0,0,0,12,0,0,0,20,298.708,0.24465,7.13138,259671,-1.06754,13.50646,334444,1.26872,13.45738,-74773,10.31558,13.28727,3.6,22066.784,10.598597,4.33
ADSK,2023-01-03,Tuesday,1,Q1,28,190.619995117188,192.960006713867,183.0,185.149993896484,1181600,40.9394621365801,-0.394571886384299,-0.920426641861094,187.327996826172,0.964315359134017,6.71141458252003,-0.920426641861094,-1.599707539881989,-0.0106183644543375,-0.0040005488792486,-0.0053787109444823,2.18305342661348,203.3417681521155,180.6612286740564,0.1979126301986947,-7.935958761588157,-3.798198359335347,-3.4604873281261503,-0.478704237066075,0.2890349174469273,8.398668390154127e-05,0.0083304451932161,-20.29703337746756,1.656145627510061,1.5176953335217958,-1.663508870536401,4.472049177558257,6.951126546173181,20.005406300812844,0,2022-11-22,61986170000.0,2022-10-31 00:00:00,1.7,1.7,0.0,1280,42,27,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,32,0,0,0,68,0,0,0,12,0,0,0,20,298.708,0.24465,7.13138,259671,-1.06754,13.50646,334444,1.26872,13.45738,-74773,10.31558,13.28727,3.6,22066.784,10.598597,4.33
AMD,2023-01-03,Tuesday,1,Q1,28,66.0,66.879997253418,63.5900001525879,64.0199966430664,46851800,42.247691866284,-0.402094065412372,-1.15794355237208,64.5149990081787,0.954503733697223,2.83967216342808,-1.157943552372076,-0.7749535431101573,-0.0023708244866191,-0.0040005488792486,-0.0053787109444823,2.188722922226652,73.53818345473151,60.60481543137687,0.264059694699982,-14.617239561451267,-3.1614036423982417,-4.557052771703664,-1.0341898530754852,0.4169739537359956,0.0003009601487682,0.0136819533394294,-17.531883410896718,2.09923304496917,0.9996986138740782,-2.639792097200544,6.2949181818301,10.168701152119674,32.20869076508339,0,2022-11-01,285847687380.0,2022-09-30 00:00:00,0.67,0.7,-4.2857,5565,63,42,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,32,0,0,0,68,0,0,0,12,0,0,0,20,298.708,0.24465,7.13138,259671,-1.06754,13.50646,334444,1.26872,13.45738,-74773,10.31558,13.28727,3.6,22066.784,10.598597,4.33
AMZN,2023-01-03,Tuesday,1,Q1,28,85.4599990844727,86.9599990844727,84.2099990844727,85.8199996948242,76706000,43.3805800475696,0.21404382970297,2.16666630336217,84.4779998779297,0.984812406378639,3.08101484301906,2.1666663033621747,0.6686213429023091,0.0120649243735054,-0.0040005488792486,-0.0053787109444823,2.3355063514684584,93.35714927875192,80.92985023296684,0.3935005863978103,-8.828213960552311,-25.94062674410972,-3.1072175985890587,-0.1518623085994851,0.3545984768244439,0.0002034662766164,0.0089929406587388,-28.83913699780032,1.5323842779255945,-0.7923564525679994,-3.146116240786967,4.71918325117644,11.232812192878416,22.52388941947348,0,2022-10-27,2468820501335.0,2022-09-30 00:00:00,0.17,0.22,-22.7273,127101,68,45,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,32,0,0,0,68,0,0,0,12,0,0,0,20,298.708,0.24465,7.13138,259671,-1.06754,13.50646,334444,1.26872,13.45738,-74773,10.31558,13.28727,3.6,22066.784,10.598597,4.33
AVGO,2023-01-03,Tuesday,1,Q1,28,54.2164595697086,54.463072462715,52.8528902455911,53.1110191345215,20173000,56.7550308300945,-0.193020099119047,-1.01047596857899,53.0577602386475,1.01084912677814,1.36698459699592,-1.0104970109551692,0.1900790727215495,0.0072792856504676,-0.0040005488792486,-0.0053787109444823,1.5141453928368716,55.40148674902091,49.68050711694588,0.5996378335345692,3.1986174102770937,22.180954275655385,1.5324748992090784,-0.4130244061597696,0.283945677400603,6.862762782446808e-05,0.0113845998641278,-2.8448241993896755,1.3326654674362484,1.2213475857044245,0.2782355422095151,3.875466718610476,3.759835710452309,8.901856646567175,0,2022-12-08,1438133286539.0,2022-10-31 00:00:00,1.045,1.028,1.6537,8930,26,16,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,32,0,0,0,68,0,0,0,12,0,0,0,20,298.708,0.24465,7.13138,259671,-1.06754,13.50646,334444,1.26872,13.45738,-74773,10.31558,13.28727,3.6,22066.784,10.598597,4.33
CDW,2023-01-03,Tuesday,1,Q1,28,174.059579451532,175.631365038728,172.740063607912,174.166305541992,515300,47.2345180794154,-0.851324321851043,0.520800216573702,173.354193115234,0.982058755166673,3.90978546605557,0.5207560914865184,0.76903511779014,0.0130693283330008,-0.0040005488792486,-0.0053787109444823,1.6580915453097518,187.0899685411942,167.6063403577316,0.3366888007779455,-5.530986378742431,12.609358245165511,-2.6399123122983874,-0.3936769806752182,0.2590424311374618,0.0001144079806182,0.0052057368847019,-6.98001157721598,1.1249877926611576,0.9136020521878008,-0.8077335520090823,3.8270972195939112,10.350415624101997,10.957626316785474,0,2022-11-02,21735113951.0,2022-09-30 00:00:00,2.6,2.52,3.1746,6216,62,41,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,32,0,0,0,68,0,0,0,12,0,0,0,20,298.708,0.24465,7.13138,259671,-1.06754,13.50646,334444,1.26872,13.45738,-74773,10.31558,13.28727,3.6,22066.784,10.598597,4.33
CTSH,2023-01-03,Tuesday,1,Q1,28,55.1027986730232,55.5425494920703,54.5483310417859,55.0550003051758,2635800,50.2832821776431,0.107935936348103,0.699444247256831,53.6401390075684,1.0045440668534,1.39260216656264,0.6994163378649665,2.802558550585843,0.0334043676810639,-0.0040005488792486,-0.0053787109444823,1.5731609984597654,58.154786096080926,51.45713063670716,0.5371811720538934,-7.693538639676523,-1.9940343508664136,-4.123275835903402,-0.957010577869339,0.2376117888656321,0.0001076494241794,0.00668428854718,-8.19912568560442,1.104613606403965,0.8161396486528139,-0.034720648787645,6.285823207805463,5.903812924506879,19.534650459170354,0,2022-11-02,34236555184.0,2022-09-30 00:00:00,1.17,1.16,0.8621,4857,62,41,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,32,0,0,0,68,0,0,0,12,0,0,0,20,298.708,0.24465,7.13138,259671,-1.06754,13.50646,334444,1.26872,13.45738,-74773,10.31558,13.28727,3.6,22066.784,10.598597,4.33
GOOGL,2023-01-03,Tuesday,1,Q1,28,89.0558833191861,90.5071858403404,87.992262693347,88.5886917114258,28131200,43.4761738064033,-0.171326461643365,1.00870415755117,87.7974464416504,0.975956871999548,2.6862600286205,1.0087303423762517,-0.123277209173267,0.0041458528373931,-0.0040005488792486,-0.0053787109444823,1.9855206246045012,98.08950328301094,83.45272541571953,0.3508956411760963,-11.270405554229324,-9.651259980457317,-5.105572887412687,-0.3022810966401297,0.2865444136640248,0.0001402825638327,0.0105577740544302,-14.701373608089233,1.3749959323091625,-1.1669724985550969,-3.2764934139855706,-0.7854713676502922,2.244163307424829,12.690755948047716,0,2022-10-25,2461129000000.0,2022-09-30 00:00:00,1.06,1.25,-15.2,69092,70,47,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,32,0,0,0,68,0,0,0,12,0,0,0,20,298.708,0.24465,7.13138,259671,-1.06754,13.50646,334444,1.26872,13.45738,-74773,10.31558,13.28727,3.6,22066.784,10.598597,4.33
LRCX,2023-01-03,Tuesday,1,Q1,28,41.7964987805946,41.8334575372967,39.6129119135089,40.2966804504395,13249000,42.8451280034641,-0.400817240858291,-1.42756257209664,40.9349338531494,0.947818027385139,1.66217083336674,-1.427544042527995,0.5289709220161809,0.0106685153306852,-0.0040005488792486,-0.0053787109444823,2.4774686854028536,46.669534739126505,38.36088289393014,0.2329862181342645,-9.138675086418402,6.714479502521287,-2.3947596804753104,-0.5712749245131549,0.4600824517419534,0.0004328125406201,0.0164098862693214,-16.967174805327225,1.9110129614266425,1.969577605373352,0.6661785724360714,10.695151830817217,12.69369701465437,27.989392565026066,0,2022-10-19,125144604480.0,2022-09-30 00:00:00,10.42,9.54,9.2243,5074,76,51,0,0,0,0,0,0,0,21,0,0,0,28,0,0,0,32,0,0,0,68,0,0,0,12,0,0,0,20,298.708,0.24465,7.13138,259671,-1.06754,13.50646,334444,1.26872,13.45738,-74773,10.31558,13.28727,3.6,22066.784,10.598597,4.33
